"Depth","Key","Kind","Result Type"
"1","Hide","Function","void"
"1","Self","Function",""
"1","ShouldShowAll","Function","bool"
"1","ShouldShowLocked","Function","bool"
"1","ShouldShowPossible","Function","bool"
"1","ShouldShowUnlocked","Function","bool"
"1","Show","Function","void"
"1","ShowAll","Function","void"
"1","ShowLocked","Function","void"
"1","ShowPossible","Function","void"
"1","ShowUnlocked","Function","void"
"0","AddFriendWindow","Type",""
"1","AccessSelf","Function",""
"1","Hide","Function","void"
"1","Self","Function",""
"1","ShouldBeShown","Function","bool"
"1","Show","Function","void"
"0","AddLocalizationIf","Function","CString"
"0","AddTextIf","Function","CString"
"0","AddWarGoalPanel","Type",""
"1","AccessCountry","Function",""
"1","AccessCountry","Promote","Country"
"1","AccessDiplomaticPlay","Function",""
"1","AccessDiplomaticPlay","Promote","DiplomaticPlay"
"1","AccessSelf","Function",""
"1","AccessShownWarGoalTypes","Function",""
"1","AccessShownWarGoals","Function",""
"1","ClearSelectedWarGoalType","Function","void"
"1","GetCountry","Function",""
"1","GetCountry","Promote","Country"
"1","GetDiplomaticPlay","Function",""
"1","GetDiplomaticPlay","Promote","DiplomaticPlay"
"1","HasSelectedWarGoalType","Function","bool"
"1","Self","Function",""
"1","SetSelectedWarGoalType","Function","void"
"0","Add_CFixedPoint","Function","CFixedPoint"
"0","Add_CVector2f","Function","CVector2f"
"0","Add_float","Function","float"
"0","Add_int32","Function","int32"
"0","Add_uint32","Function","uint32"
"0","Alert","Type",""
"1","AccessSelf","Function",""
"1","AddingFinished","Function","void"
"1","BeginIdleAnimation","Function","void"
"1","GetAction","Function","CString"
"1","GetAlertGroup","Function",""
"1","GetDescription","Function","CString"
"1","GetHint","Function","CString"
"1","GetName","Function","CString"
"1","GetTexture","Function",""
"1","GetToolTip","Function","CString"
"1","GetTooltipTag","Function","CString"
"1","IdleAnimationFinished","Function","void"
"1","IsAdded","Function","bool"
"1","IsAdding","Function","bool"
"1","IsAngryImportantAction","Function","bool"
"1","IsRead","Function","bool"
"1","IsRemoving","Function","bool"
"1","MarkAsHidden","Function","void"
"1","MarkAsRead","Function","void"
"1","RemovingFinished","Function","void"
"1","Self","Function",""
"0","AlertGroup","Type",""
"1","AccessSelf","Function",""
"1","GetTooltipTag","Function","CString"
"1","Self","Function",""
"0","AnchorItem","Type",""
"1","AccessSelf","Function",""
"1","GetAnchorIndexAsString","Function","CString"
"1","GetDisplayString","Function","CString"
"1","GetIndexValidator","Function",""
"1","GetTooltip","Function","CString"
"1","IsExpanded","Function","bool"
"1","IsLocked","Function","bool"
"1","Self","Function",""
"1","SetAnchorIndexCallback","Function","void"
"1","ToggleExpanded","Function","void"
"1","ToggleLock","Function","void"
"0","And","Function","bool"
"0","AnimationCurveValue","Type",""
"1","AccessSelf","Function",""
"1","AddKeyframeAtTimelineMarker","Function","void"
"1","CacheCurrentAnimationTime","Function","void"
"1","GetDataflowDirectionString","Function","CString"
"1","GetErrorMessage","Function","CString"
"1","GetXPreviewTexture","Function",""
"1","GetYPreviewTexture","Function",""
"1","HasCurveControls","Function","bool"
"1","HasDataflowDirectionControls","Function","bool"
"1","HasError","Function","bool"
"1","HasKeyframeAfterTimelineMarker","Function","bool"
"1","HasKeyframeAtTimelineMarker","Function","bool"
"1","HasKeyframeBeforeTimelineMarker","Function","bool"
"1","HasKeyframeControls","Function","bool"
"1","MoveTimelineMarkerToNextKeyframe","Function","void"
"1","MoveTimelineMarkerToPreviousKeyframe","Function","void"
"1","OpenSimplifiedCurveEditor","Function","void"
"1","OpenXCurveEditor","Function","void"
"1","OpenYCurveEditor","Function","void"
"1","RemoveSelf","Function","void"
"1","Self","Function",""
"1","ToggleDataflowDirection","Function","void"
"1","ToolProperty","Promote","ToolProperty"
"0","Application","Promote","Application"
"0","Application","Type",""
"1","AccessSelf","Function",""
"1","Quit","Function","void"
"1","Self","Function",""
"0","AreAchievementsAvailable","Function","bool"
"0","Attribute","Type",""
"1","AccessSelf","Function",""
"1","GetName","Function","CString"
"1","GetValue","Function","float"
"1","OnValueChanged","Function","void"
"1","Self","Function",""
"0","AvailabilityEntry","Type",""
"1","AccessSelf","Function",""
"1","GetAvailabilityString","Function","CUTF8String"
"1","Self","Function",""
"0","BATTLE","Promote","Battle"
"0","BATTLE_CONDITION","Promote","BattleCondition"
"0","BUILDING","Promote","Building"
"0","BUILDING_TYPE","Promote","BuildingType"
"0","Battle","Type",""
"1","AccessAttackerBattleParticipant","Promote","BattleParticipant"
"1","AccessAttackerModifier","Function",""
"1","AccessAttackerModifier","Promote","Modifier"
"1","AccessBorrowedAttackerBuildingEntries","Function",""
"1","AccessBorrowedDefenderBuildingEntries","Function",""
"1","AccessCommandedAttackerBuildingEntries","Function",""
"1","AccessCommandedDefenderBuildingEntries","Function",""
"1","AccessCountryTrendPairs","Function",""
"1","AccessDefenderBattleParticipant","Promote","BattleParticipant"
"1","AccessDefenderModifier","Function",""
"1","AccessDefenderModifier","Promote","Modifier"
"1","AccessManpowerTrendPairs","Function",""
"1","AccessSelf","Function",""
"1","CalcCurrentAttackerManpower","Function","int32"
"1","CalcCurrentAttackerMorale","Function","CFixedPoint"
"1","CalcCurrentDefenderManpower","Function","int32"
"1","CalcCurrentDefenderMorale","Function","CFixedPoint"
"1","CalcPushOfWar","Function","CFixedPoint"
"1","GetAttacker","Function",""
"1","GetAttacker","Promote","Country"
"1","GetAttackerBattalionBreakdown","Function","CString"
"1","GetAttackerCommander","Function",""
"1","GetAttackerCommander","Promote","Character"
"1","GetAttackerCondition","Function",""
"1","GetAttackerCondition","Promote","BattleCondition"
"1","GetAttackerEndCE","Function","CFixedPoint"
"1","GetAttackerIconFrame","Function","int32"
"1","GetAttackerLostUnits","Function","int32"
"1","GetAttackerModifier","Function",""
"1","GetAttackerModifier","Promote","Modifier"
"1","GetAttackerRelativeRankRaw","Function","CFixedPoint"
"1","GetAttackerStartCE","Function","CFixedPoint"
"1","GetAttackerStatistics","Function",""
"1","GetAttackerStillFightingTrend","Function","DataTrend"
"1","GetAttackerTotalDead","Function","CFixedPoint"
"1","GetAttackerTotalWounded","Function","CFixedPoint"
"1","GetAttackerTrend","Function","DataTrend"
"1","GetAttackerUnderCommandBreakdown","Function","CString"
"1","GetBattleIcon","Function",""
"1","GetCapturingCountry","Function",""
"1","GetCapturingCountry","Promote","Country"
"1","GetCurrentAttackerUnits","Function","int32"
"1","GetCurrentDefenderUnits","Function","int32"
"1","GetCustom","Function","CString"
"1","GetDateDesc","Function","CString"
"1","GetDefender","Function",""
"1","GetDefender","Promote","Country"
"1","GetDefenderBattalionBreakdown","Function","CString"
"1","GetDefenderCommander","Function",""
"1","GetDefenderCommander","Promote","Character"
"1","GetDefenderCondition","Function",""
"1","GetDefenderCondition","Promote","BattleCondition"
"1","GetDefenderEndCE","Function","CFixedPoint"
"1","GetDefenderIconFrame","Function","int32"
"1","GetDefenderLostUnits","Function","int32"
"1","GetDefenderModifier","Function",""
"1","GetDefenderModifier","Promote","Modifier"
"1","GetDefenderRelativeRankRaw","Function","CFixedPoint"
"1","GetDefenderStartCE","Function","CFixedPoint"
"1","GetDefenderStatistics","Function",""
"1","GetDefenderStillFightingTrend","Function","DataTrend"
"1","GetDefenderTotalDead","Function","CFixedPoint"
"1","GetDefenderTotalWounded","Function","CFixedPoint"
"1","GetDefenderTrend","Function","DataTrend"
"1","GetDefenderUnderCommandBreakdown","Function","CString"
"1","GetDefenseBreakdown","Function","CString"
"1","GetDefenseRaw","Function","CFixedPoint"
"1","GetDurationInDaysRaw","Function","int32"
"1","GetEndDate","Function","CString"
"1","GetEndingAttackerMorale","Function","CFixedPoint"
"1","GetEndingDefenderMorale","Function","CFixedPoint"
"1","GetFinalAttackerManpower","Function","int32"
"1","GetFinalAttackerUnits","Function","int32"
"1","GetFinalAttackingBattalionBreakdown","Function","CString"
"1","GetFinalDefenderManpower","Function","int32"
"1","GetFinalDefenderUnits","Function","int32"
"1","GetFinalDefendingBattalionBreakdown","Function","CString"
"1","GetFront","Function",""
"1","GetFront","Promote","Front"
"1","GetInitialAttackerMorale","Function","CFixedPoint"
"1","GetInitialDefenderMorale","Function","CFixedPoint"
"1","GetLoosingProvincesCountry","Function",""
"1","GetLoosingProvincesCountry","Promote","Country"
"1","GetLoser","Function",""
"1","GetLoser","Promote","Country"
"1","GetMaxNumberInBattleTrends","Function","CFixedPoint"
"1","GetMaxNumberInManpowerTrends","Function","CFixedPoint"
"1","GetName","Function","CString"
"1","GetNumCapturedProvinces","Function","int32"
"1","GetOffenseBreakdown","Function","CString"
"1","GetOffenseRaw","Function","CFixedPoint"
"1","GetProvince","Function",""
"1","GetProvince","Promote","Province"
"1","GetStartDate","Function","CString"
"1","GetStartingAttackerBattalionBreakdown","Function","CString"
"1","GetStartingAttackerManpower","Function","int32"
"1","GetStartingAttackerUnits","Function","int32"
"1","GetStartingDefenderBattalionBreakdown","Function","CString"
"1","GetStartingDefenderManpower","Function","int32"
"1","GetStartingDefenderUnits","Function","int32"
"1","GetState","Function",""
"1","GetState","Promote","State"
"1","GetStatusString","Function","CString"
"1","GetTerrain","Function","CString"
"1","GetTooltipTag","Function","CString"
"1","GetUnitIcon","Function","CString"
"1","GetWinner","Function",""
"1","GetWinner","Promote","Country"
"1","HasAttackerCommander","Function","bool"
"1","HasDefenderCommander","Function","bool"
"1","HasEnded","Function","bool"
"1","IsActive","Function","bool"
"1","IsBeingHighlighted","Function","bool"
"1","IsBeingTutorialHighlighted","Function","bool"
"1","IsLeadCountry","Function","bool"
"1","IsLoser","Function","bool"
"1","IsManpowerTrendsEmpty","Function","bool"
"1","IsNavalBattle","Function","bool"
"1","IsOnLoserSide","Function","bool"
"1","IsOnWinnerSide","Function","bool"
"1","IsRelevantForCountry","Function","bool"
"1","IsWinner","Function","bool"
"1","LostOrCapturedProvinces","Function","bool"
"1","Self","Function",""
"0","BattleBuildingEntry","Type",""
"1","AccessSelf","Function",""
"1","GetAverageMorale","Function","CFixedPoint"
"1","GetBuilding","Function",""
"1","GetBuilding","Promote","Building"
"1","GetUnits","Function",""
"1","IsExpanded","Function","bool"
"1","IsUnderDirectCommand","Function","bool"
"1","Self","Function",""
"1","ToggleExpand","Function","void"
"0","BattleCondition","Type",""
"1","AccessSelf","Function",""
"1","GetDesc","Function","CString"
"1","GetModifierDesc","Function","CString"
"1","GetName","Function","CString"
"1","GetTexture","Function",""
"1","GetTooltipTag","Function","CString"
"1","IsValid","Function","bool"
"1","Self","Function",""
"0","BattleMarker","Type",""
"1","AccessBattle","Function",""
"1","AccessBattle","Promote","Battle"
"1","AccessSelf","Function",""
"1","GetBattle","Function",""
"1","GetBattle","Promote","Battle"
"1","GetPosition","Function","CVector2f"
"1","Self","Function",""
"0","BattlePanel","Type",""
"1","AccessBattle","Function",""
"1","AccessBattle","Promote","Battle"
"1","AccessSelf","Function",""
"1","GetBattle","Function",""
"1","GetBattle","Promote","Battle"
"1","Self","Function",""
"0","BattleParticipant","Type",""
"1","AccessCountry","Function",""
"1","AccessCountry","Promote","Country"
"1","AccessSelf","Function",""
"1","GetCountry","Function",""
"1","GetCountry","Promote","Country"
"1","GetMorale","Function","CFixedPoint"
"1","GetNumCombatUnits","Function","int32"
"1","Self","Function",""
"0","BattleParticipantsPanel","Type",""
"1","AccessBattle","Function",""
"1","AccessBattle","Promote","Battle"
"1","AccessCombatUnits","Function",""
"1","AccessSelf","Function",""
"1","GetBattle","Function",""
"1","GetBattle","Promote","Battle"
"1","GetHeaderText","Function","CString"
"1","Self","Function",""
"0","BattleSetupData","Type",""
"1","AccessSelf","Function",""
"1","GetActualBaseline","Function","int32"
"1","GetAttackerData","Promote","BattleSetupSideData"
"1","GetDefenderData","Promote","BattleSetupSideData"
"1","Self","Function",""
"0","BattleSetupSideData","Type",""
"1","AccessSelf","Function",""
"1","GetReinforcementFinal","Function","CFixedPoint"
"1","GetReinforcementRaw","Function","CFixedPoint"
"1","GetTroopsAvailable","Function","int32"
"1","GetTroopsExtraReinforcement","Function","int32"
"1","GetTroopsFromBaseline","Function","int32"
"1","GetTroopsInBattle","Function","int32"
"1","GetTroopsMax","Function","int32"
"1","GetTroopsMin","Function","int32"
"1","GetTroopsPossibleReinforcement","Function","int32"
"1","GetTroopsTotal","Function","int32"
"1","IsWithoutCommander","Function","bool"
"1","Self","Function",""
"0","BindFoldOutContext","Function","void"
"0","BlurThreshold","Type",""
"1","AccessSelf","Function",""
"1","GetValue","Function","float"
"1","Self","Function",""
"1","SetValue","Function","void"
"1","SetValueStr","Function","void"
"0","BoolTo1And2","Function","int32"
"0","BoolTo2And1","Function","int32"
"0","BrowserWindow","Type",""
"1","AccessSelf","Function",""
"1","CanGoBack","Function","bool"
"1","CanGoForward","Function","bool"
"1","Close","Function","void"
"1","GetUrl","Function","CString"
"1","GoBack","Function","void"
"1","GoForward","Function","void"
"1","GoHome","Function","void"
"1","ReloadPage","Function","void"
"1","Self","Function",""
"0","BrushBool","Type",""
"1","AccessSelf","Function",""
"1","Get","Function","bool"
"1","Self","Function",""
"1","Set","Function","void"
"1","Toggle","Function","void"
"0","BrushFloat","Type",""
"1","AccessSelf","Function",""
"1","DecreaseBySmallStep","Function","void"
"1","DecreaseByStep","Function","void"
"1","IncreaseBySmallStep","Function","void"
"1","IncreaseByStep","Function","void"
"1","Max","Function","float"
"1","Min","Function","float"
"1","ScaledValue","Function","float"
"1","Self","Function",""
"1","SetMax","Function","void"
"1","SetMin","Function","void"
"1","SetScaledValue","Function","void"
"1","SetStepSize","Function","void"
"1","SetValue","Function","void"
"1","SetValueArg","Function","void"
"1","SetValueFromWidget","Function","void"
"1","SmallStepSize","Function","float"
"1","StepSize","Function","float"
"1","Value","Function","float"
"0","BrushSettings","Type",""
"1","AccessSelf","Function",""
"1","Amount","Function",""
"1","Amount","Promote","BrushFloat"
"1","Diameter","Function","float"
"1","Hardness","Function",""
"1","Hardness","Promote","BrushFloat"
"1","PixelSnap","Function",""
"1","PixelSnap","Promote","BrushBool"
"1","Radius","Function",""
"1","Radius","Promote","BrushFloat"
"1","Self","Function",""
"1","SetAmount","Function","void"
"1","SetDiameter","Function","void"
"1","SetHardness","Function","void"
"0","BrushSettingsDropdown","Type",""
"1","AccessSelf","Function",""
"1","GetBrushDiameter","Function","float"
"1","Self","Function",""
"1","Settings","Function",""
"1","Settings","Promote","BrushSettings"
"1","Thumbnail","Function",""
"1","Toggle","Function","void"
"0","BrushSettingsGlobal","Type",""
"1","AccessSelf","Function",""
"1","GetDisplayAmountNames","Function",""
"1","IsDisplayAmountActive","Function","bool"
"1","Self","Function",""
"1","SetIsDisplayAmountFromString","Function","void"
"0","BudgetPanel","Type",""
"1","AccessSelf","Function",""
"1","AccessTaxableGoods","Function",""
"1","AccessTaxedGoods","Function",""
"1","CanTaxGoods","Function","bool"
"1","Filter","Function","void"
"1","GetFilters","Function",""
"1","IsAddConsumptionTaxMenuOpen","Function","bool"
"1","IsSelected","Function","bool"
"1","Self","Function",""
"1","ToggleAddConsumptionTaxMenu","Function","void"
"0","Building","Type",""
"1","AccessConsumedGoods","Function",""
"1","AccessModifier","Function",""
"1","AccessModifier","Promote","Modifier"
"1","AccessNonPlayerTradeRoutes","Function",""
"1","AccessPlayerTradeRoutes","Function",""
"1","AccessPopsList","Function",""
"1","AccessPopsList","Promote","PopList"
"1","AccessProducedGoods","Function",""
"1","AccessProductionMethod","Function",""
"1","AccessProductionMethod","Promote","ProductionMethod"
"1","AccessProductionMethodGroups","Function",""
"1","AccessSelf","Function",""
"1","AccessShortageGoods","Function",""
"1","AccessState","Function",""
"1","AccessState","Promote","State"
"1","AccessStateRegion","Function",""
"1","AccessStateRegion","Promote","StateRegion"
"1","CalcInfrastructureUsage","Function","CFixedPoint"
"1","CalcInputAvailabilityOutputMult","Function","CFixedPoint"
"1","CalcInputGoodsShortageTargetPenalty","Function","CFixedPoint"
"1","CalcInputGoodsShortageTargetPenaltyFromGoods","Function","CFixedPoint"
"1","CalcUrbanizationProvided","Function","int32"
"1","CanBeAffectedByInputShortage","Function","bool"
"1","CancelConstruction","Function","Command"
"1","Downsize","Function","Command"
"1","GetAllEmployeesTransferDesc","Function","CString"
"1","GetAllFailedHiresDesc","Function","CString"
"1","GetArmyManpower","Function","uint32"
"1","GetArmyReadinessStatusDesc","Function","CString"
"1","GetAutoExpandTooltip","Function","CString"
"1","GetAverageAnnualEarningsPerEmployee","Function","CFixedPoint"
"1","GetAverageAnnualEarningsPerEmployeeFormatted","Function","CString"
"1","GetAverageAnnualWage","Function","CFixedPoint"
"1","GetAverageAnnualWageBreakdown","Function","CString"
"1","GetAverageAnnualWageBreakdownForPopType","Function","CString"
"1","GetAverageAnnualWageForPopType","Function","CFixedPoint"
"1","GetAverageAnnualWageForPopTypeDesc","Function","CString"
"1","GetAverageAnnualWageSubsidies","Function","CFixedPoint"
"1","GetAverageStandardOfLiving","Function","CFixedPoint"
"1","GetBalance","Function","CFixedPoint"
"1","GetBalanceDesc","Function","CString"
"1","GetBuildingGroupName","Function","CString"
"1","GetBuildingType","Function",""
"1","GetBuildingType","Promote","BuildingType"
"1","GetCancelConstructionTooltip","Function","CString"
"1","GetCashReservesTrend","Function","DataTrend"
"1","GetCasualtiesDesc","Function","CString"
"1","GetChangeProductionMethodPopQualificationsWarningBreakdown","Function","CString"
"1","GetCombatUnitCapacity","Function","int32"
"1","GetCombatUnitCapacityDesc","Function","CString"
"1","GetCombatUnitCommanders","Function",""
"1","GetCombatUnitProduction","Function","CString"
"1","GetCombatUnitTexture","Function",""
"1","GetCombatUnits","Function",""
"1","GetCombatUnitsIcon","Function","CString"
"1","GetCombatUnitsReserve","Function",""
"1","GetConstructionProgressPercentage","Function","float"
"1","GetConstructionRemainingWeeksDesc","Function","CString"
"1","GetConstructionSpeedPerWeek","Function","CFixedPoint"
"1","GetConstructionSpeedPerWeekDesc","Function","CString"
"1","GetConsumption","Function","CFixedPoint"
"1","GetConsumptionDesc","Function","CString"
"1","GetConsumptionValue","Function","CFixedPoint"
"1","GetCurrentCashReserves","Function","CFixedPoint"
"1","GetCustom","Function","CString"
"1","GetDebugTooltip","Function","CString"
"1","GetDefaultOutputGoods","Function",""
"1","GetDefaultOutputGoods","Promote","Goods"
"1","GetDownsizeTooltip","Function","CString"
"1","GetEarnings","Function","CFixedPoint"
"1","GetEarningsPerEmployeeTrend","Function","DataTrend"
"1","GetEmployeeCap","Function","int32"
"1","GetEmployeesBreakdown","Function","CString"
"1","GetEmployeesTransferDesc","Function","CString"
"1","GetEmploymentPercentage","Function","CFixedPoint"
"1","GetEmploymentTooltip","Function","CString"
"1","GetEstablishmentDate","Function","CString"
"1","GetExpansionLevel","Function","int32"
"1","GetExpansionLevelBreakdown","Function","CString"
"1","GetExpansionLevelBreakdownDesc","Function","CString"
"1","GetExpansionLevelDesc","Function","CString"
"1","GetExpansionLevelsInQueue","Function","int32"
"1","GetFailedHiresDesc","Function","CString"
"1","GetGoodsShortageListDesc","Function","CString"
"1","GetGovernmentExpenses","Function","CFixedPoint"
"1","GetGovernmentExpensesDesc","Function","CString"
"1","GetHQ","Function",""
"1","GetHQ","Promote","Hq"
"1","GetID","Function","int32"
"1","GetIDString","Function","CString"
"1","GetInfrastructureUsageBreakdown","Function","CString"
"1","GetInputMult","Function","CFixedPoint"
"1","GetInputMultDesc","Function","CString"
"1","GetInputOutputTooltip","Function","CString"
"1","GetInputShortagePenalty","Function","CFixedPoint"
"1","GetLastIncome","Function","CFixedPoint"
"1","GetLastMaterialExpenses","Function","CFixedPoint"
"1","GetLastMaterialExpensesDesc","Function","CString"
"1","GetLastRevenue","Function","CFixedPoint"
"1","GetLastSlaveBasket","Function","int32"
"1","GetLastSlaveBasketDesc","Function","CString"
"1","GetLastSlaveUpkeep","Function","CFixedPoint"
"1","GetLastSlaveUpkeepDesc","Function","CString"
"1","GetLastWagesExpenses","Function","CFixedPoint"
"1","GetLastWagesExpensesDesc","Function","CString"
"1","GetManpowerCapacity","Function","int32"
"1","GetMaxCashReserves","Function","CFixedPoint"
"1","GetMobilizationRatio","Function","CFixedPoint"
"1","GetModifier","Function",""
"1","GetModifier","Promote","Modifier"
"1","GetName","Function","CString"
"1","GetNameNoFormatting","Function","CString"
"1","GetNavyManpower","Function","uint32"
"1","GetNoOfEmployed","Function","int32"
"1","GetNumCombatUnitsInReserve","Function","int32"
"1","GetNumEmployeesOfType","Function","int32"
"1","GetNumberOfCombatUnits","Function","int32"
"1","GetNumberOfFullyMobilizedBattalions","Function","int32"
"1","GetNumberOfMobilizingBattalions","Function","int32"
"1","GetOutputPercentage","Function","CFixedPoint"
"1","GetOutputRatio","Function","CFixedPoint"
"1","GetOwner","Function",""
"1","GetOwner","Promote","Country"
"1","GetProducedModifiers","Function",""
"1","GetProducedModifiers","Promote","Modifier"
"1","GetProduction","Function","CFixedPoint"
"1","GetProductionDesc","Function","CString"
"1","GetProductionMethodGroup","Function",""
"1","GetProductionMethodGroup","Promote","ProductionMethodGroup"
"1","GetProductionValue","Function","CFixedPoint"
"1","GetProfitability","Function","CString"
"1","GetProfitabilityCompareIcon","Function","CString"
"1","GetProfitabilityCompareIconInType","Function","CString"
"1","GetProfitabilityInType","Function","CString"
"1","GetProfitabilityInTypeTrend","Function","DataTrend"
"1","GetProfitabilityRank","Function","int32"
"1","GetProfitabilityRankInType","Function","int32"
"1","GetProfitabilityTrend","Function","DataTrend"
"1","GetQueueConstructionPopQualificationsWarningBreakdown","Function","CString"
"1","GetQueueConstructionTooltip","Function","CString"
"1","GetSamplePops","Function",""
"1","GetSizeTooltip","Function","CString"
"1","GetState","Function",""
"1","GetState","Promote","State"
"1","GetStateRegion","Function",""
"1","GetStateRegion","Promote","StateRegion"
"1","GetStatusDesc","Function","CString"
"1","GetSubsidies","Function","CFixedPoint"
"1","GetSubsidiesDesc","Function","CString"
"1","GetSubsidizeTooltip","Function","CString"
"1","GetTariffsPaid","Function","CFixedPoint"
"1","GetTaxationRevenue","Function","CFixedPoint"
"1","GetTaxationRevenueTooltip","Function","CString"
"1","GetTexture","Function",""
"1","GetThroughputBonusCurrent","Function","CFixedPoint"
"1","GetThroughputBonusTarget","Function","CFixedPoint"
"1","GetThroughputDesc","Function","CString"
"1","GetTimedModifiers","Function",""
"1","GetTooltip","Function","CString"
"1","GetTooltipTag","Function","CString"
"1","GetTotalConsumptionValue","Function","CFixedPoint"
"1","GetTotalExpenses","Function","CFixedPoint"
"1","GetTotalProductionValue","Function","CFixedPoint"
"1","GetTradeRouteRevenue","Function","CFixedPoint"
"1","GetTrainingRate","Function","int32"
"1","GetTrainingRateDesc","Function","CString"
"1","GetUrbanizationProvidedBreakdown","Function","CString"
"1","GetWageRate","Function","CFixedPoint"
"1","HasAnyInputShortage","Function","bool"
"1","HasConstructionQueued","Function","bool"
"1","HasFailedHires","Function","bool"
"1","HasInputGoods","Function","bool"
"1","HasInputShortage","Function","bool"
"1","HasMaximumInputShortage","Function","bool"
"1","HasOutputGoods","Function","bool"
"1","HasReachedLevelCap","Function","bool"
"1","HasSlaves","Function","bool"
"1","HasTradeRouteRevenue","Function","bool"
"1","IsActive","Function","bool"
"1","IsActiveStr","Function","CString"
"1","IsAutoExpanding","Function","bool"
"1","IsBeingHighlighted","Function","bool"
"1","IsBeingTutorialHighlighted","Function","bool"
"1","IsBuildingType","Function","bool"
"1","IsCappedBuilding","Function","bool"
"1","IsCurrentlyUnderConstruction","Function","bool"
"1","IsDownsizeable","Function","bool"
"1","IsExpandable","Function","bool"
"1","IsGovernmentFunded","Function","bool"
"1","IsMilitaryBuilding","Function","bool"
"1","IsMobilized","Function","bool"
"1","IsOwner","Function","bool"
"1","IsSelfFunded","Function","bool"
"1","IsSubsidized","Function","bool"
"1","IsSubsistenceBuilding","Function","bool"
"1","IsUrbanCenter","Function","bool"
"1","IsValid","Function","bool"
"1","ProvidesUrbanization","Function","bool"
"1","QueueConstruction","Function","Command"
"1","Self","Function",""
"1","ShowLevelAndMaxLevel","Function","bool"
"1","ToggleAutoExpand","Function","Command"
"1","ToggleAutoExpandOff","Function","Command"
"1","ToggleAutoExpandOn","Function","Command"
"1","ToggleSubsidies","Function","Command"
"1","ToggleSubsidiesOff","Function","Command"
"1","ToggleSubsidiesOn","Function","Command"
"1","UsesInfrastructure","Function","bool"
"0","BuildingDetailsPanel","Type",""
"1","AccessBuilding","Function",""
"1","AccessBuilding","Promote","Building"
"1","AccessSelf","Function",""
"1","AccessState","Function",""
"1","AccessState","Promote","State"
"1","GetBuilding","Function",""
"1","GetBuilding","Promote","Building"
"1","GetState","Function",""
"1","GetState","Promote","State"
"1","Self","Function",""
"0","BuildingMarker","Type",""
"1","AccessBuilding","Function",""
"1","AccessBuilding","Promote","Building"
"1","AccessSelf","Function",""
"1","GetBuilding","Function",""
"1","GetBuilding","Promote","Building"
"1","Self","Function",""
"0","BuildingPotentialMarker","Type",""
"1","AccessSelf","Function",""
"1","AccessState","Function",""
"1","AccessState","Promote","State"
"1","GetBuildingType","Function",""
"1","GetBuildingType","Promote","BuildingType"
"1","GetPosition","Function","CVector2f"
"1","GetState","Function",""
"1","GetState","Promote","State"
"1","Self","Function",""
"0","BuildingType","Type",""
"1","AccessProductionMethodGroups","Function",""
"1","AccessSelf","Function",""
"1","ActivateExpansionLens","Function","void"
"1","CanBeAutoExpanded","Function","bool"
"1","CanBeSubsidized","Function","bool"
"1","CreatedByUrbanization","Function","bool"
"1","FiredPopsBecomeRadical","Function","bool"
"1","GetBreakdownInCountry","Function","CString"
"1","GetBuildingGroupName","Function","CString"
"1","GetBuildingKindDesc","Function","CString"
"1","GetBuildingModifier","Function",""
"1","GetBuildingModifier","Promote","Modifier"
"1","GetConstructionCosts","Function","CString"
"1","GetCountryModifier","Function",""
